UID	Category	Sub-Category	Collection	XPATH	Name	Format	Content Type	Example Content	MCHOICE Values	Definitions	Field Type	Element Type	Parent	Attributed	Child(ren)	Attributes
1			B1GL	_ROOT	issue 	GFT	NUL			Root element.	Container	XML_ELEMENT	_ROOT		"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"	
2			B1GL	issue\	article	GFT	NUL			Container element for article.	Container	XML_ELEMENT	1			
3			B1GL	issue\	ba	GFT	UID	2FWS		Mcode: 4 byte alpha-numeric value.	Data	XML_ELEMENT	1			
4			B1GL	issue\	citation	GFT	NUL			"Container element for citation information, including title, date, and type of publication."	Container	XML_ELEMENT	1		"24, 25, 26, 27, 28, 29, 30, 31, 32, 33"	
5	Copyright	Copyright Holder	B1GL	issue\	cp	GFT	STR	Copyright &#x00A9; The British Library Board		Copyright statement.	Data	XML_ELEMENT	1			
6	Issue Date	Publication Date	B1GL	issue\	da	GFT	DAT	"January 03, 1822"		Date of publication (string).	Data	XML_ELEMENT	1			
7	Language	Language of the Issue	B1GL	issue\	dcLanguage	GFT	STR	eng		Language of issue.	Data	XML_ELEMENT	1			
8	Issue Date	Day of the Week of Publication	B1GL	issue\	dw	GFT	MCH	Thursday	"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"	Day of the week of publication.	Data	XML_ELEMENT	1			
9	Issue Number	Unique Identifier	B1GL	issue\	id	GFT	UID	WOJL-1822-01-03		"Unique ID for issue, contains abbreviated title and issue date."	Data	XML_ELEMENT	1			
10	Page Count of Issue		B1GL	issue\	ip	GFT	NUM	4		Page count for issue.	Data	XML_ELEMENT	1			
11	Issue Number	Relative to Newspaper Title	B1GL	issue\	is	GFT	NUM	6209		Issue number relative to newspaper (source issue number).	Data	XML_ELEMENT	1			
12	Newspaper Title	Unspecified	B1GL	issue\	jn	GFT	STR	Berrow&apos;s Worcester Journal		Newspaper title (string).	Data	XML_ELEMENT	1			
13	Issue Number	Unique Identifier	B1GL	issue\	newspaperId	GFT	UID	NCBL0081		Unique ID for issue.	Data	XML_ELEMENT	1			
14	Issue Date	Standardised Date of Publication	B1GL	issue\	pf	GFT	DAT	18220103		"Standardised date of publication (numerical, YYYYMMDD)."	Data	XML_ELEMENT	1			
15	Issue Date	Printed Date	B1GL	issue\	printedDate	GFT	DAT	"January 03, 1822"		"Date of publication (printed, string)."	Data	XML_ELEMENT	1			
16	Microfilm Reel		B1GL	issue\	reelID	GFT	UID	2359		Microfilm reel number (automatically assigned).	Data	XML_ELEMENT	1			
17	Holding Library	Library Name	B1GL	issue\	sourceLibrary	GFT	STR	British Library		Library that was source of the newspaper.	Data	XML_ELEMENT	1		"20, 21, 22, 23"	
18	Abbreviated Newspaper Title		B1GL	issue\	titleAbbreviation	GFT	STR	WOJL		"Ad hoc, unique, 4 character abbreviation of the title. Also part of IDs for the newspaper and article."	Data	XML_ELEMENT	1			
19	Volume Number	Relative	B1GL	issue\	volNum	GFT	NUM	1		Volume number (numerical).	Data	XML_ELEMENT	1			
20			B1GL	issue\citation\	conversionCredit	GFT	NUL				Container	XML_ELEMENT	17			
21	Publication Date Range	Full Publication Date Range	B1GL	issue\citation\	datesOfPublication	GFT	DAR	1 Jan 1800 - 27 Aug 1859; 29 Aug 1859 - 21 Feb 1860; 22 Feb 1860 - 20 Apr 1867		Newspaper date range (string).	Data	XML_ELEMENT	17			
22			B1GL	issue\citation\	titlegroup	GFT	NUL			Citation information.	Container	XML_ELEMENT	17			
23	Publication Genre		B1GL	issue\citation\	typeOfPublication	GFT	MCH	Newspaper		Type of publication at broadest level.	Data	XML_ELEMENT	17			
24			B1GL	issue\article\	?article	GFT	NUL				Container	XML_ELEMENT	4			
25	ID	Clipped Article Image (Unique)	B1GL	issue\article\	ci	GFT	UID	WOJL-1822-01-03-0002-003-001		Unique clipped article ID which includes abbreviated title and date information.	Data	XML_ELEMENT	4			"35, 36"
26	Article Category		B1GL	issue\article\	ct	GFT	MCH	Advertisements &amp; Notices		Category assigned to the article from a pre-defined list.	Data	XML_ELEMENT	4			
27	ID	Article (Unique/Database)	B1GL	issue\article\	id	GFT	UID	WOJL-1822-01-03-0002-003		"Unique article ID including abbreviated title, date of newspaper and article number."	Data	XML_ELEMENT	4			
28			B1GL	issue\article\	il	GFT	NUL			Container for illustration information.	Container	XML_ELEMENT	4			37
29	Page Count of Article		B1GL	issue\article\	pc	GFT	NUM	1		Total number of pages containing sections of the article.	Data	XML_ELEMENT	4			
30	Page Number	Unique Identifier	B1GL	issue\article\	pi	GFT	UID	WOJL-1822-01-03-0002		Unique ID for page including abbreviated newspaper title and issue date.	Data	XML_ELEMENT	4			34
31			B1GL	issue\article\	text	GFT	NUL			Container for article text.	Container	XML_ELEMENT	4		"38, 39"	
32	Article Title or Headline	As Full Headline or Title	B1GL	issue\article\	ti	GFT	STR	Advertisements &amp; Notices		Title of the article.	Data	XML_ELEMENT	4			
33	Newspaper Title	Normalised Title	B1GL	issue\citation\titlegroup\	marcTitle	GFT	STR	Berrow&apos;s Worcester Journal		Newspaper title (from MARC record).	Data	XML_ELEMENT	4			
34	Page Number	Relative	B1GL	issue\article\pi\	pgref	GFT	NUM	1		Page number relative to issue.	Data	XML_ATTRIBUTE		30		
35	ID	Clipped Article Image (Relative)	B1GL	issue\article\ci\	clip	GFT	NUM	1		Relative clipped article ID.	Data	XML_ATTRIBUTE		25		
36	Page Number	Relative	B1GL	issue\article\ci\	pgref	GFT	NUM	1		Page number relative to issue.	Data	XML_ATTRIBUTE		25		
37	Illustration Information	Indicating presence of illustration	B1GL	issue\article\il\@	indicator	GFT	BOO	no		Indicates if there is an illustration.	Data	XML_ATTRIBUTE		28		
38			B1GL	issue\article\text\	text.cr	GFT	NUL			Container for article text.	Container	XML_ELEMENT	31		45	
39			B1GL	issue\article\text\	text.title	GFT	NUL			Article title container.	Container	XML_ELEMENT	31		"40, 41"	
40	Paragraph	As an XML Container	B1GL	issue\article\text\text.title\	p	GFT	NUL			Paragraph container.	Container	XML_ELEMENT	39		43	
